Professore,Classe
Teacher 1,5AL + 5BL
Teacher 2,4DL +4BL
Teacher 3,3CSUE+ 3GL
Teacher 4,5ASUE + 5FL
Teacher 5,4CSUE (some remarks) + 4ASUE
Teacher 6,4CL +5CSUE
Teacher 7,5DL+5HL (some remarks)
Teacher 8,3AC 
Teacher 9,4AL+ 4FL
Teacher 10,3AL+3BL
Teacher 11,4GL+5HL (some remarks)
Teacher 12,5CL+5EL
Teacher 13,3EL+3DSUE 
Teacher 14,4DSUE+4CSUE (some remarks)
Teacher 15,3DL+3BSUE
Teacher 16,5BSUE
Teacher 17,4BSUE+4EL
Teacher 18,3ASUE+3CL
Teacher 19,5DSUE
Teacher 20,5GL+ 3FL 
Teacher 21,4BSU+ 5AC
Teacher 22,4BC+3BC
Teacher 23,4CSU+3CSU
Teacher 24,5ASU+ 5B SU+ 5CC (some remarks)
Teacher 25,3BSU+ 3DSU 
Teacher 26,5C SU+ 5DSU + 5CC (some remarks)
Teacher 27,4AC+5BC
Teacher 28,4A SU+3ASU(some remarks)
